license_plate,month,visit_count,total,cornsilk,slate_gray,navajo_white,avg_trip
BT-HF-31,2020.01,7,158.5,4,17,13,22.642857142857142
MTK-YV-854,2020.01,10,340.0,16,38,25,34.0
WF-BF-166,2020.01,6,196.0,7,22,15,32.666666666666664
MR-L-85,2020.01,2,26.5,8,3,0,13.25
AW-T-573,2020.01,4,109.5,11,11,7,27.375
VS-N-463,2020.01,6,228.5,11,17,21,38.083333333333336
EA-CK-47,2020.01,7,225.0,11,12,23,32.142857142857146
SO-ND-149,2020.01,9,275.0,22,12,27,30.555555555555557
SLK-WA-97,2020.01,5,101.0,12,4,9,20.2
WB-XG-76,2020.01,6,197.0,18,20,13,32.833333333333336
BI-YC-52,2020.01,1,43.5,6,5,2,43.5
TIR-UI-954,2020.01,5,116.5,18,11,6,23.3
HRO-T-727,2020.01,6,175.0,7,18,14,29.166666666666668
SU-I-395,2020.01,8,208.5,29,17,13,26.0625
FD-QX-71,2020.01,3,95.5,4,9,8,31.833333333333332
HR-P-42,2020.01,2,43.0,4,2,4,21.5
WUG-RO-4,2020.01,12,520.5,24,45,45,43.375
KUS-IE-12,2020.01,3,114.0,1,8,12,38.0
G-W-9626,2020.01,7,217.0,14,18,18,31.0
VEC-X-59,2020.01,4,60.5,11,7,2,15.125
H-MH-183,2020.01,4,91.5,9,3,9,22.875
BWL-T-131,2020.01,6,211.0,11,26,14,35.166666666666664
K-P-279,2020.01,4,188.0,17,14,15,47.0
RE-HF-341,2020.01,5,149.0,8,4,17,29.8
GR-S-678,2020.01,3,65.5,10,7,3,21.833333333333332
OA-CM-78,2020.01,5,111.5,12,9,8,22.3
BWL-K-815,2020.01,8,276.0,26,18,23,34.5
S-E-6,2020.01,6,208.0,13,8,22,34.666666666666664
GAP-MQ-6,2020.01,10,332.0,26,28,26,33.2
MG-VR-5,2020.01,3,99.0,4,6,10,33.0
REG-N-59,2020.01,6,135.5,10,9,12,22.583333333333332
SAD-J-174,2020.01,2,89.5,8,5,8,44.75
RO-EC-6,2020.01,6,231.5,16,15,21,38.583333333333336
FDS-QV-72,2020.01,3,66.5,7,7,4,22.166666666666668
SZ-DC-721,2020.01,7,270.0,23,18,23,38.57142857142857
RÜD-TF-5487,2020.01,4,194.0,20,10,17,48.5
WF-W-6,2020.01,6,246.0,11,18,23,41.0
ES-E-14,2020.01,4,80.0,5,4,8,20.0
WUG-XR-597,2020.01,5,250.5,15,13,25,50.1
HX-A-86,2020.01,4,181.0,17,10,16,45.25
MST-O-695,2020.01,5,144.0,9,22,7,28.8
GM-K-7,2020.01,4,101.0,12,8,7,25.25
SB-H-6,2020.01,6,147.5,16,11,11,24.583333333333332
WOB-BU-1256,2020.01,9,231.0,21,16,19,25.666666666666668
MM-BT-443,2020.01,6,265.5,19,21,22,44.25
GTH-J-386,2020.01,8,287.5,16,17,28,35.9375
TÜ-YR-2557,2020.01,3,122.5,7,11,10,40.833333333333336
G-W-59,2020.01,7,190.5,13,15,16,27.214285714285715
EBE-B-57,2020.01,5,123.5,18,3,11,24.7
OA-J-12,2020.01,5,134.0,11,12,10,26.8
CB-UE-13,2020.01,3,175.0,7,10,18,58.333333333333336
AK-Q-9,2020.01,4,100.5,10,5,9,25.125
ROS-R-42,2020.01,4,70.0,7,4,6,17.5
SW-D-15,2020.01,5,146.0,3,16,12,29.2
AC-E-881,2020.01,5,159.5,8,23,9,31.9
KE-UP-71,2020.01,5,148.0,11,14,11,29.6
WTM-B-6,2020.01,6,234.5,14,15,22,39.083333333333336
PAF-N-97,2020.01,4,148.0,11,12,12,37.0
FL-S-62,2020.01,7,204.5,13,21,15,29.214285714285715
OE-G-499,2020.01,5,112.0,14,8,8,22.4
WE-H-269,2020.01,10,300.0,31,28,20,30.0
KF-G-9,2020.01,9,250.0,13,18,23,27.77777777777778
EE-AM-913,2020.01,6,149.0,8,16,11,24.833333333333332
MIL-Y-63,2020.01,6,239.5,20,23,17,39.916666666666664
MS-M-54,2020.01,7,206.5,14,13,19,29.5
RD-Z-98,2020.01,6,192.5,28,13,13,32.083333333333336
LL-MA-441,2020.01,8,209.5,19,17,16,26.1875
NK-F-548,2020.01,2,82.0,6,10,5,41.0
IZ-NY-652,2020.01,4,111.5,5,15,7,27.875
WES-PY-211,2020.01,5,134.0,11,16,8,26.8
UN-V-24,2020.01,3,57.5,6,7,3,19.166666666666668
THW-WP-65,2020.01,1,22.5,6,3,0,22.5
GZ-I-4591,2020.01,5,68.5,1,11,4,13.7
VK-ZT-15,2020.01,6,125.0,10,16,7,20.833333333333332
LER-AF-151,2020.01,11,381.5,42,21,32,34.68181818181818
ROS-TE-56,2020.01,5,146.0,17,14,9,29.2
SLS-U-95,2020.01,3,87.5,7,9,6,29.166666666666668
OHA-P-354,2020.01,8,250.5,22,23,18,31.3125
PAN-V-5988,2020.01,7,266.5,9,11,30,38.07142857142857
IN-L-763,2020.01,4,65.0,8,8,3,16.25
KF-NG-13,2020.01,4,113.5,13,11,7,28.375
SPN-KF-8545,2020.01,8,299.5,22,19,27,37.4375
RV-B-431,2020.01,5,121.5,10,7,11,24.3
KG-EV-1,2020.01,8,355.0,34,26,28,44.375
OS-D-832,2020.01,6,171.5,14,17,12,28.583333333333332
IZ-M-331,2020.01,4,91.5,9,11,5,22.875
CW-BE-877,2020.01,2,56.0,7,6,3,28.0
GÜ-HR-5253,2020.01,5,138.5,15,11,10,27.7
BD-N-39,2020.01,4,130.5,11,13,9,32.625
TIR-LN-5,2020.01,6,223.5,19,21,16,37.25
MÜR-H-8,2020.01,10,277.5,39,31,13,27.75
OAL-V-81,2020.01,8,262.5,14,23,22,32.8125
FR-X-57,2020.01,6,205.0,15,14,18,34.166666666666664
SLF-T-9697,2020.01,4,132.5,5,11,12,33.125
RV-K-225,2020.01,7,153.0,17,14,10,21.857142857142858
SE-FT-67,2020.01,4,116.0,9,14,7,29.0
BZ-J-5472,2020.01,5,156.0,15,8,14,31.2
DD-M-2367,2020.01,3,64.0,4,8,4,21.333333333333332
DD-T-4,2020.01,3,119.5,9,7,11,39.833333333333336
KG-IF-93,2020.01,8,268.0,22,24,20,33.5
SI-A-923,2020.01,3,111.0,3,12,9,37.0
SLF-G-6848,2020.01,8,252.5,23,21,19,31.5625
ME-TS-1281,2020.01,7,190.5,20,13,15,27.214285714285715
KI-XS-3535,2020.01,2,39.5,4,5,2,19.75
RO-Q-363,2020.01,6,130.5,11,7,12,21.75
OA-YW-78,2020.01,5,91.0,7,12,5,18.2
HR-Q-1412,2020.01,6,160.5,19,19,8,26.75
SLK-O-32,2020.01,3,112.0,14,2,11,37.333333333333336
SL-AQ-29,2020.01,8,245.5,16,15,23,30.6875
KI-H-31,2020.01,6,216.5,5,21,19,36.083333333333336
PAF-C-7,2020.01,4,147.5,9,23,7,36.875
TÖL-B-76,2020.01,5,171.0,19,12,13,34.2
RV-C-94,2020.01,5,98.5,9,5,9,19.7
CHA-I-62,2020.01,6,179.5,11,19,13,29.916666666666668
Y-YJ-83,2020.01,4,162.5,6,9,17,40.625
NW-PJ-297,2020.01,5,184.5,17,17,13,36.9
HSK-V-3,2020.01,6,147.0,7,10,14,24.5
EB-EI-1,2020.01,2,50.5,6,3,4,25.25
AW-PX-62,2020.01,5,146.5,12,17,9,29.3
KO-NH-841,2020.01,1,28.5,2,7,0,28.5
MOL-HA-69,2020.01,9,245.5,37,33,8,27.27777777777778
SO-XK-811,2020.01,8,220.5,21,15,18,27.5625
DBR-WA-16,2020.01,4,124.5,15,9,9,31.125
LU-W-912,2020.01,7,246.0,25,28,14,35.142857142857146
DAU-W-62,2020.01,6,233.5,17,17,20,38.916666666666664
HI-LK-5831,2020.01,4,130.0,16,12,8,32.5
NMS-RL-52,2020.01,3,131.5,8,15,9,43.833333333333336
HBN-NT-57,2020.01,8,250.5,15,21,21,31.3125
BO-PT-722,2020.01,10,260.5,20,29,17,26.05
AÖ-FO-75,2020.01,7,175.0,14,18,12,25.0
AA-Y-71,2020.01,4,125.5,5,17,8,31.375
FR-N-87,2020.01,6,182.5,16,13,15,30.416666666666668
ZW-F-6,2020.01,4,104.0,10,4,10,26.0
PLÖ-OJ-4,2020.01,8,336.0,35,24,26,42.0
MSH-E-38,2020.01,5,167.0,10,16,13,33.4
GP-X-91,2020.01,5,110.5,15,1,11,22.1
MEI-S-547,2020.01,7,269.0,12,20,25,38.42857142857143
COE-BW-89,2020.01,11,307.5,33,21,24,27.954545454545453
L-AA-648,2020.01,7,205.0,8,14,20,29.285714285714285
VK-DL-57,2020.01,3,101.5,7,13,6,33.833333333333336
SHK-PN-16,2020.01,6,204.5,20,13,17,34.083333333333336
SIG-R-3871,2020.01,6,197.5,20,15,15,32.916666666666664
LRO-XI-699,2020.01,5,173.0,13,10,16,34.6
UM-NM-412,2020.01,6,120.0,11,16,6,20.0
KT-H-992,2020.01,4,116.5,11,9,9,29.125
MYK-M-28,2020.01,3,122.0,12,8,10,40.666666666666664
WHV-T-22,2020.01,3,131.5,8,15,9,43.833333333333336
PS-YX-11,2020.01,5,122.0,5,12,10,24.4
TS-A-25,2020.01,7,163.0,22,8,13,23.285714285714285
HOL-A-92,2020.01,7,201.5,15,17,16,28.785714285714285
SHA-TG-92,2020.01,7,269.5,14,19,25,38.5
IN-B-594,2020.01,4,83.5,12,15,1,20.875
KA-VA-761,2020.01,4,94.0,12,12,4,23.5
MVL-U-16,2020.01,8,247.0,22,30,14,30.875
HX-QM-21,2020.01,1,25.0,2,6,0,25.0
MM-RL-4,2020.01,4,146.0,10,18,9,36.5
BWL-MV-2,2020.01,4,148.0,4,10,15,37.0
F-H-888,2020.01,4,138.0,6,20,8,34.5
H-S-495,2020.01,8,231.5,23,17,18,28.9375
SAW-H-67,2020.01,4,143.5,14,13,10,35.875
EBE-DX-63,2020.01,5,144.0,16,12,10,28.8
OF-OY-5221,2020.01,6,246.0,11,26,19,41.0
WUN-RE-488,2020.01,5,166.5,8,5,19,33.3
WIL-N-945,2020.01,4,163.0,15,14,12,40.75
DAU-RO-8584,2020.01,3,118.0,10,8,10,39.333333333333336
GE-GA-18,2020.01,7,132.5,12,23,4,18.928571428571427
HX-N-7,2020.01,3,80.0,5,6,7,26.666666666666668
S-K-1752,2020.01,8,163.5,17,13,12,20.4375
PAF-U-154,2020.01,3,54.0,6,4,4,18.0
AZ-YL-26,2020.01,7,253.0,18,18,22,36.142857142857146
THL-Q-628,2020.01,4,137.0,9,6,14,34.25
LSN-H-11,2020.01,7,206.5,14,23,14,29.5
GG-N-97,2020.01,4,143.0,5,16,11,35.75
BT-O-952,2020.01,6,199.5,14,19,15,33.25
NVP-P-13,2020.01,7,260.0,18,10,27,37.142857142857146
EIC-O-898,2020.01,6,165.5,11,13,14,27.583333333333332
DN-KF-952,2020.01,6,251.5,26,21,18,41.916666666666664
GS-H-63,2020.01,7,157.0,19,18,8,22.428571428571427
PR-X-76,2020.01,6,161.0,14,10,14,26.833333333333332
FF-D-62,2020.01,2,92.0,4,12,6,46.0
HP-U-143,2020.01,10,270.0,23,18,23,27.0
IN-JW-26,2020.01,7,166.5,15,17,11,23.785714285714285
HWI-RQ-618,2020.01,2,28.5,2,5,1,14.25
HOM-BA-245,2020.01,2,42.5,2,9,1,21.25
KU-B-49,2020.01,6,192.5,21,11,16,32.083333333333336
SW-RM-63,2020.01,4,64.0,11,8,2,16.0
STD-DW-8,2020.01,5,194.0,20,8,18,38.8
GT-H-11,2020.01,4,110.5,15,9,7,27.625
THW-PO-782,2020.01,6,198.5,17,13,17,33.083333333333336
NMS-D-76,2020.01,2,65.5,3,1,8,32.75
WND-A-492,2020.01,4,148.0,11,6,15,37.0
EM-RY-41,2020.01,7,197.5,27,17,12,28.214285714285715
NMS-BN-552,2020.01,3,119.0,7,10,10,39.666666666666664
KB-V-64,2020.01,6,238.5,16,19,20,39.75
LD-OL-9852,2020.01,5,214.0,9,16,20,42.8
ES-RW-45,2020.01,5,148.0,11,18,9,29.6
KÜN-RF-364,2020.01,5,145.5,8,13,12,29.1
OA-AL-89,2020.01,9,293.5,19,11,31,32.611111111111114
WEN-QX-4595,2020.01,5,184.0,8,14,17,36.8
LWL-YE-8611,2020.01,7,226.5,17,23,16,32.357142857142854
LIF-K-87,2020.01,5,161.5,9,7,17,32.3
LOS-L-92,2020.01,6,140.5,23,15,6,23.416666666666668
DH-G-8,2020.01,5,166.0,6,18,13,33.2
HER-WJ-231,2020.01,5,145.0,13,20,7,29.0
TS-L-37,2020.01,6,187.0,13,24,11,31.166666666666668
KE-XV-79,2020.01,5,221.0,9,16,21,44.2
MD-FU-28,2020.01,3,91.0,7,10,6,30.333333333333332
WL-SC-855,2020.01,6,181.0,24,14,12,30.166666666666668
HH-T-324,2020.01,5,94.5,7,13,5,18.9
THL-Q-83,2020.01,3,85.0,11,2,8,28.333333333333332
LI-GA-92,2020.01,3,109.0,9,12,7,36.333333333333336
WUN-T-63,2020.01,5,146.0,10,8,14,29.2
BGL-T-48,2020.01,5,105.0,7,10,8,21.0
BC-VO-9,2020.01,5,202.5,19,23,12,40.5
R-H-92,2020.01,4,191.5,17,15,15,47.875
OH-Q-6,2020.01,1,37.5,3,5,2,37.5
DAH-D-36,2020.01,7,201.0,20,22,12,28.714285714285715
EB-A-675,2020.01,8,281.5,20,17,26,35.1875
VS-WI-4321,2020.01,8,188.5,12,33,7,23.5625
TÖL-T-92,2020.01,7,142.5,10,21,7,20.357142857142858
HRO-VJ-86,2020.01,8,222.0,13,16,20,27.75
GP-K-557,2020.01,5,172.0,16,2,19,34.4
LD-D-957,2020.01,5,179.0,23,16,11,35.8
KN-F-71,2020.01,6,210.0,14,18,17,35.0
GRZ-X-942,2020.01,8,147.5,16,15,9,18.4375
HB-XY-7244,2020.01,7,239.5,13,11,25,34.214285714285715
KU-W-266,2020.01,3,59.0,5,6,4,19.666666666666668
MA-H-94,2020.01,4,87.5,7,9,6,21.875
DEL-DU-639,2020.01,6,166.5,8,9,17,27.75
WF-Q-32,2020.01,3,93.5,10,3,9,31.166666666666668
RO-YT-78,2020.01,4,120.0,18,8,8,30.0
SK-JL-4,2020.01,2,39.5,4,1,4,19.75
SM-RI-94,2020.01,12,297.5,28,27,21,24.791666666666668
HAM-D-6,2020.01,5,183.5,13,9,18,36.7
MS-CA-44,2020.01,4,162.0,4,10,17,40.5
ME-UK-74,2020.01,2,68.5,8,3,6,34.25
LOS-JO-45,2020.01,8,262.0,26,26,17,32.75
AB-R-87,2020.01,4,132.5,12,13,9,33.125
AN-I-484,2020.01,4,115.0,12,10,8,28.75
NU-N-3,2020.01,5,148.5,20,5,13,29.7
WF-O-94,2020.01,4,199.0,12,8,21,49.75
KN-E-737,2020.01,8,273.0,21,18,24,34.125
HDH-ZE-418,2020.01,3,58.0,8,2,5,19.333333333333332
HH-Z-6442,2020.01,4,80.0,19,6,3,20.0
SI-S-1571,2020.01,5,273.5,16,17,26,54.7
MN-W-7,2020.01,4,59.0,5,6,4,14.75
WOB-DY-997,2020.01,11,359.0,43,30,24,32.63636363636363
TDO-ZD-529,2020.01,2,66.0,5,10,3,33.0
LA-I-541,2020.01,5,93.5,17,9,4,18.7
GTH-X-3,2020.01,3,66.0,5,2,7,22.0
MM-HJ-55,2020.01,5,109.5,11,7,9,21.9
WN-BB-5918,2020.01,5,137.0,16,16,7,27.4
SH-B-986,2020.01,9,208.5,22,21,13,23.166666666666668
SPN-EF-219,2020.01,6,204.0,18,22,13,34.0
HEF-J-696,2020.01,3,111.0,10,4,11,37.0
WÜ-G-25,2020.01,5,209.5,19,15,17,41.9
VIE-D-955,2020.01,6,233.0,22,12,21,38.833333333333336
HH-R-524,2020.01,5,165.0,16,22,8,33.0
MÜR-EO-555,2020.01,4,90.0,3,4,10,22.5
NM-UR-24,2020.01,6,182.0,14,16,14,30.333333333333332
WTM-NF-794,2020.01,3,111.5,5,3,13,37.166666666666664
MB-L-971,2020.01,5,106.5,6,11,8,21.3
DU-U-83,2020.01,4,103.0,6,6,10,25.75
DL-FP-543,2020.01,3,95.0,2,10,8,31.666666666666668
CE-X-322,2020.01,2,84.0,7,12,4,42.0
WW-WN-2,2020.01,5,128.5,10,15,8,25.7
DLG-AY-5813,2020.01,5,114.5,10,15,6,22.9
MN-I-289,2020.01,3,78.0,4,6,7,26.0
SP-DC-23,2020.01,2,73.5,0,7,7,36.75
MOS-NU-56,2020.01,5,193.5,18,15,15,38.7
UL-F-181,2020.01,3,68.5,8,11,2,22.833333333333332
PCH-U-396,2020.01,7,207.0,16,14,18,29.571428571428573
TDO-O-72,2020.01,3,98.0,7,12,6,32.666666666666664
WN-G-454,2020.01,5,106.0,11,2,11,21.2
KI-QM-188,2020.01,6,162.0,18,22,7,27.0
OH-UK-118,2020.01,6,237.5,19,17,20,39.583333333333336
LOS-PO-8114,2020.01,3,115.0,12,8,9,38.333333333333336
GRZ-DG-313,2020.01,10,343.5,23,27,29,34.35
SON-IK-8532,2020.01,5,87.5,14,3,7,17.5
WE-GT-682,2020.01,5,133.5,16,7,11,26.7
BL-GA-82,2020.01,5,172.5,18,15,12,34.5
NF-QN-2112,2020.01,4,141.5,6,25,6,35.375
LER-M-68,2020.01,4,51.0,8,6,2,12.75
OE-P-645,2020.01,10,335.0,31,22,28,33.5
FFB-N-22,2020.01,6,141.0,18,12,9,23.5
OD-H-2521,2020.01,2,26.0,6,4,0,13.0
MZ-SC-1833,2020.01,8,291.0,16,14,30,36.375
IN-DW-113,2020.01,5,136.5,7,9,13,27.3
DE-D-18,2020.01,2,43.0,4,6,2,21.5
NVP-PG-374,2020.01,4,149.5,17,15,9,37.375
HER-RR-275,2020.01,5,165.5,18,17,10,33.1
TUT-W-33,2020.01,8,168.5,30,13,9,21.0625
BWL-H-12,2020.01,9,277.5,18,33,18,30.833333333333332
ST-BR-62,2020.01,6,166.5,15,21,9,27.75
NR-T-9115,2020.01,6,207.5,18,5,22,34.583333333333336
ESW-VO-277,2020.01,5,152.0,13,8,14,30.4
PAF-Y-6449,2020.01,9,199.5,28,9,16,22.166666666666668
SIG-A-9,2020.01,6,155.0,11,14,12,25.833333333333332
AP-PC-542,2020.01,5,178.0,5,18,15,35.6
CHA-M-475,2020.01,7,216.5,33,13,15,30.928571428571427
GTH-VJ-64,2020.01,7,164.5,21,13,11,23.5
NOM-SZ-9,2020.01,9,349.0,24,18,34,38.77777777777778
VEC-Z-116,2020.01,9,267.5,20,27,19,29.72222222222222
HOM-F-92,2020.01,10,364.0,28,38,25,36.4
NE-U-69,2020.01,5,177.0,8,20,13,35.4
M-U-193,2020.01,3,130.5,4,13,11,43.5
LOS-N-6,2020.01,5,139.5,5,5,16,27.9
AUR-X-97,2020.01,7,144.0,2,26,7,20.571428571428573
PIR-E-79,2020.01,3,93.0,8,8,7,31.0
DBR-J-771,2020.01,5,121.5,10,5,12,24.3
EB-QV-351,2020.01,5,108.5,14,9,7,21.7
WT-Y-89,2020.01,2,51.5,3,9,2,25.75
KR-MZ-52,2020.01,9,284.0,16,16,28,31.555555555555557
PM-O-59,2020.01,5,155.0,4,16,13,31.0
MG-F-492,2020.01,6,235.0,16,20,19,39.166666666666664
DON-L-549,2020.01,2,92.0,4,8,8,46.0
BRB-SA-85,2020.01,11,329.5,16,29,28,29.954545454545453
MS-UO-438,2020.01,6,185.0,19,16,13,30.833333333333332
CW-SF-63,2020.01,7,291.5,25,27,21,41.642857142857146
NWM-E-99,2020.01,9,288.0,25,10,29,32.0
SM-Z-57,2020.01,5,137.5,18,11,9,27.5
KE-ZP-55,2020.01,7,215.0,27,18,14,30.714285714285715
PA-ZL-263,2020.01,4,82.5,8,11,4,20.625
NOM-WG-8254,2020.01,9,178.0,26,22,7,19.77777777777778
P-P-88,2020.01,3,104.5,5,9,9,34.833333333333336
VER-LH-817,2020.01,5,145.0,13,12,11,29.0
ST-UD-563,2020.01,6,183.5,13,9,18,30.583333333333332
LER-JZ-1955,2020.01,8,216.0,17,26,13,27.0
LRO-F-564,2020.01,7,265.5,19,19,23,37.92857142857143
LAU-KU-242,2020.01,5,168.0,14,14,13,33.6
NI-D-174,2020.01,3,89.0,6,2,10,29.666666666666668
DL-CC-26,2020.01,3,120.0,11,8,10,40.0
MA-F-27,2020.01,6,190.5,13,11,18,31.75
WEN-OB-7951,2020.01,4,90.5,5,7,8,22.625
MK-A-39,2020.01,5,91.5,16,5,6,18.3
WHV-U-981,2020.01,6,154.5,9,17,11,25.75
BK-IE-98,2020.01,4,52.0,5,4,4,13.0
FDS-VW-65,2020.01,2,79.0,8,0,9,39.5
BAR-F-5,2020.01,7,223.5,19,15,19,31.928571428571427
SM-K-177,2020.01,10,261.0,15,26,20,26.1
TG-KW-157,2020.01,2,65.0,1,6,6,32.5
MTK-J-1,2020.01,4,191.5,17,9,18,47.875
TDO-EE-7943,2020.01,13,456.5,34,35,38,35.11538461538461
HR-K-93,2020.01,1,25.5,4,3,1,25.5
PIR-B-19,2020.01,1,30.0,1,2,3,30.0
L-X-3527,2020.01,4,151.0,9,10,14,37.75
MST-ZK-6,2020.01,6,156.0,15,12,12,26.0
WUG-A-559,2020.01,9,260.0,11,24,22,28.88888888888889
KYF-N-4,2020.01,6,165.0,16,16,11,27.5
BYL-U-9,2020.01,6,243.5,15,7,27,40.583333333333336
WÜ-Y-1339,2020.01,6,152.5,8,15,12,25.416666666666668
AN-N-555,2020.01,5,142.0,8,14,11,28.4
ER-V-631,2020.01,6,239.5,13,23,19,39.916666666666664
CB-S-38,2020.01,8,265.0,17,20,23,33.125
AE-I-81,2020.01,7,289.0,29,24,21,41.285714285714285
AE-HA-68,2020.01,4,149.5,17,15,9,37.375
AK-PQ-89,2020.01,9,239.5,41,17,14,26.61111111111111
HZ-L-6741,2020.01,3,65.5,10,7,3,21.833333333333332
TUT-VV-65,2020.01,8,263.0,16,22,22,32.875
EL-B-287,2020.01,4,131.5,8,13,10,32.875
LÖ-H-4,2020.01,2,47.0,6,0,5,23.5
PB-DR-126,2020.01,5,115.0,5,16,7,23.0
EA-K-1629,2020.01,4,170.5,10,13,15,42.625
TÜ-UK-11,2020.01,5,189.0,7,16,17,37.8
PA-CR-3,2020.01,4,146.5,5,13,13,36.625
ABI-OB-294,2020.01,5,239.0,18,6,26,47.8
NM-C-81,2020.01,6,259.0,21,16,23,43.166666666666664
FFB-O-81,2020.01,7,211.5,20,25,12,30.214285714285715
AW-Y-938,2020.01,5,185.5,14,11,17,37.1
BI-A-677,2020.01,4,121.0,8,6,12,30.25
FL-CP-22,2020.01,6,186.0,2,10,21,31.0
FG-KL-158,2020.01,5,67.0,9,2,6,13.4
GE-I-1289,2020.01,4,105.5,16,9,6,26.375
FRG-JI-74,2020.01,2,94.0,5,6,9,47.0
J-UD-436,2020.01,4,114.5,17,7,8,28.625
AIC-QE-232,2020.01,6,158.0,16,22,7,26.333333333333332
V-D-29,2020.01,3,69.5,5,15,1,23.166666666666668
TÜ-QC-22,2020.01,3,78.0,4,4,8,26.0
RE-XJ-39,2020.01,2,69.5,5,3,7,34.75
BRA-WE-53,2020.01,5,183.0,18,20,11,36.6
OF-D-629,2020.01,6,178.0,12,18,13,29.666666666666668
NOM-V-963,2020.01,6,160.0,10,12,14,26.666666666666668
EB-K-64,2020.01,6,144.0,9,14,11,24.0
WO-M-713,2020.01,4,164.0,12,12,14,41.0
WM-X-147,2020.01,2,42.0,7,2,3,21.0
LDS-A-26,2020.01,6,179.0,9,18,14,29.833333333333332
HAM-V-523,2020.01,7,227.0,19,18,18,32.42857142857143
HOM-SJ-597,2020.01,5,199.5,14,11,19,39.9
GP-FS-77,2020.01,5,129.5,7,7,13,25.9
COC-Z-7,2020.01,7,195.0,24,22,10,27.857142857142858
MOL-VD-8624,2020.01,4,109.0,9,10,8,27.25
TS-I-241,2020.01,4,141.5,20,5,12,35.375
KA-J-384,2020.01,4,121.5,10,9,10,30.375
GF-CX-913,2020.01,4,91.5,9,3,9,22.875
BAD-B-9161,2020.01,8,178.0,12,8,18,22.25
DGF-FJ-94,2020.01,5,95.5,11,7,7,19.1
GAP-WB-57,2020.01,3,115.0,5,12,9,38.333333333333336
HR-F-73,2020.01,4,107.5,10,11,7,26.875
FRI-V-116,2020.01,3,118.0,10,10,9,39.333333333333336
MVL-B-85,2020.01,2,70.5,9,5,5,35.25
SK-O-2,2020.01,3,99.0,11,8,7,33.0
LD-GQ-37,2020.01,3,46.5,4,7,2,15.5
UN-U-3962,2020.01,8,232.0,18,20,18,29.0
BRB-FQ-23,2020.01,8,285.0,13,16,29,35.625
MVL-ZW-92,2020.01,6,210.5,9,15,20,35.083333333333336
EI-DO-52,2020.01,4,115.5,7,13,8,28.875
NR-NU-14,2020.01,6,239.5,6,17,24,39.916666666666664
VR-J-94,2020.01,3,95.0,9,10,6,31.666666666666668
AS-N-77,2020.01,4,131.0,6,12,11,32.75
